    °C	        No	    CH0	            CH1	            CH2	            CH3
23.293	1	0.1150702307	2842.5051476064	0.5129638024	-0.1636895039
23.292	2	0.1150698730	2841.4324427505	0.5129394837	-0.1637389757
23.282	3	0.1150659391	2840.3641188362	0.5129186221	-0.1637977459
23.280	4	0.1150649855	2839.2907881314	0.5128981181	-0.1638512709
23.280	5	0.1150652239	2838.2155798802	0.5128779717	-0.1639144518
23.286	6	0.1150673696	2837.1259771065	0.5128563948	-0.1639520028
23.285	7	0.1150672504	2836.0082111364	0.5128343411	-0.1639886000
23.278	8	0.1150643894	2834.8597785747	0.5128112145	-0.1640220978
23.283	9	0.1150664160	2833.6712916894	0.5127891608	-0.1640569069
23.276	10	0.1150634357	2832.4552674565	0.5127671071	-0.1640943387
23.275	11	0.1150629589	2831.2073249344	0.5127407618	-0.1641230681
23.277	12	0.1150640318	2829.9406069482	0.5127171584	-0.1641640761
23.286	13	0.1150673696	2828.6501067072	0.5126915284	-0.1642036536
23.279	14	0.1150646278	2827.3414568509	0.5126653023	-0.1642395356
23.287	15	0.1150680849	2826.0159090767	0.5126371689	-0.1642749407
23.293	16	0.1150704691	2824.6715858383	0.5126103468	-0.1643190482
23.295	17	0.1150713036	2823.3103646821	0.5125809021	-0.1643542149
23.294	18	0.1150707075	2821.9334973057	0.5125544377	-0.1643896201
23.293	19	0.1150704691	2820.5397320115	0.5125245161	-0.1644240716
23.298	20	0.1150726149	2819.1271912531	0.5124960251	-0.1644603112
23.308	21	0.1150764296	2817.6971267281	0.5124672957	-0.1644941666
23.313	22	0.1150784561	2816.2507901341	0.5124383278	-0.1645306447
23.322	23	0.1150821516	2814.7856780759	0.5124059029	-0.1645661691
23.323	24	0.1150828669	2813.3005388558	0.5123755045	-0.1646015742
23.328	25	0.1150845358	2811.8041343572	0.5123409338	-0.1646347144
23.335	26	0.1150873968	2810.2914577896	0.5123128004	-0.1646700004
23.339	27	0.1150894234	2808.7637608507	0.5122800179	-0.1647031405
23.344	28	0.1150914499	2807.2166625986	0.5122483082	-0.1647374728
23.359	29	0.1150975296	2805.6482854872	0.5122151680	-0.1647698977
23.357	30	0.1150965759	2804.0717723412	0.5121827431	-0.1648031571
23.370	31	0.1151020595	2802.4752320334	0.5121493645	-0.1648385623
23.381	32	0.1151063511	2800.8561611686	0.5121151514	-0.1648740867
23.389	33	0.1151095697	2799.2289542692	0.5120814152	-0.1649086574
23.393	34	0.1151112387	2797.5810943592	0.5120481558	-0.1649427512
23.393	35	0.1151113579	2795.9157106826	0.5120120354	-0.1649775603
23.406	36	0.1151167223	2794.2384358787	0.5119787760	-0.1650199988
23.421	37	0.1151226828	2792.5367529712	0.5119420595	-0.1650542119
23.425	38	0.1151243517	2790.8244306340	0.5119046278	-0.1650794843
23.441	39	0.1151309082	2789.0920811350	0.5118688650	-0.1651074985
23.445	40	0.1151328155	2787.3490922063	0.5118313141	-0.1651475528
23.455	41	0.1151366302	2785.5923346038	0.5117981739	-0.1651731828
23.467	42	0.1151415178	2783.8080396538	0.5109236545	-0.1652026275
23.475	43	0.1151450941	2782.0181120645	0.5117214031	-0.1652375558
23.492	44	0.1151518890	2780.2069056157	0.5116832561	-0.1652623513
23.505	45	0.1151573727	2778.3825563420	0.5116451092	-0.1652942994
23.510	46	0.1151591608	2776.5394316041	0.5116058893	-0.1653360227
23.521	47	0.1151639292	2774.6856674365	0.5115677423	-0.1653767923
23.533	48	0.1151685783	2772.8081210141	0.5115278072	-0.1654162506
23.545	49	0.1151734659	2770.9186834644	0.5114888258	-0.1654645303
23.568	50	0.1151828835	2769.0154772410	0.5114500827	-0.1655112604
23.573	51	0.1151849100	2767.1041349831	0.5114094324	-0.1655609706
