时间t	称重电压
0.0000	-0.00014235
0.2500	-0.00014224
0.5000	-0.00014222
0.7500	-0.00014219
1.0000	-0.00014224
1.2500	-0.00014212
1.5000	-0.00014217
1.7500	-0.00014231
2.0000	-0.00014216
2.2500	-0.00014219
2.5000	-0.00014221
2.7500	-0.00014217
3.0000	-0.00014227
3.2500	-0.00014226
3.5000	-0.00014223
3.7500	-0.00014219
4.0000	-0.00014214
4.2500	-0.00014216
4.5000	-0.00014219
4.7500	-0.00014218
5.0000	-0.00014216
5.2500	-0.00014226
5.5000	-0.00014226
5.7500	-0.00014217
6.0000	-0.00014220
6.2500	-0.00014220
6.5000	-0.00014215
6.7500	-0.00014215
7.0000	-0.00014221
7.2500	-0.00014221
7.5000	-0.00014226
7.7500	-0.00014214
8.0000	-0.00014213
8.2500	-0.00014221
8.5000	-0.00014217
8.7500	-0.00014207
9.0000	-0.00014222
9.2500	-0.00014225
9.5000	-0.00014223
9.7500	-0.00014222
10.0000	-0.00014211
10.2500	-0.00014221
10.5000	-0.00014214
10.7500	-0.00014222
11.0000	-0.00014211
11.2500	-0.00014226
11.5000	-0.00014228
11.7500	-0.00014213
12.0000	-0.00014217
12.2500	-0.00014216
12.5000	-0.00014219
12.7500	-0.00014213
13.0000	-0.00014217
13.2500	-0.00014218
13.5000	-0.00014217
13.7500	-0.00014218
14.0000	-0.00014218
14.2500	-0.00014217
14.5000	-0.00014219
14.7500	-0.00014210
15.0000	-0.00014219
15.2500	-0.00014228
15.5000	-0.00014218
15.7500	-0.00014217
16.0000	-0.00014223
16.2500	-0.00014219
16.5000	-0.00014226
16.7500	-0.00014218
17.0000	-0.00014212
17.2500	-0.00014210
17.5000	-0.00014229
17.7500	-0.00014219
18.0000	-0.00014208
18.2500	-0.00014216
18.5000	-0.00014226
18.7500	-0.00017437
19.0000	-0.00016238
19.2500	-0.00014977
19.5000	-0.00016208
19.7500	-0.00016224
20.0000	-0.00016214
20.2500	-0.00016208
20.5000	-0.00016213
20.7500	-0.00016219
21.0000	-0.00016209
21.2500	-0.00016207
21.5000	-0.00016209
21.7500	-0.00016216
22.0000	-0.00016212
22.2500	-0.00016221
22.5000	-0.00016218
22.7500	-0.00016217
23.0000	-0.00016210
23.2500	-0.00016212
23.5000	-0.00016214
23.7500	-0.00016216
24.0000	-0.00016213
24.2500	-0.00016220
24.5000	-0.00016201
24.7500	-0.00016213
25.0000	-0.00016209
25.2500	-0.00016216
25.5000	-0.00016218
25.7500	-0.00016215
26.0000	-0.00016214
26.2500	-0.00016212
26.5000	-0.00016215
26.7500	-0.00016215
27.0000	-0.00016212
27.2500	-0.00016214
27.5000	-0.00016218
27.7500	-0.00016220
28.0000	-0.00016204
28.2500	-0.00016212
28.5000	-0.00016221
28.7500	-0.00016216
29.0000	-0.00016211
29.2500	-0.00016214
29.5000	-0.00016211
29.7500	-0.00016212
30.0000	-0.00016215
30.2500	-0.00016208
30.5000	-0.00016207
30.7500	-0.00016212
31.0000	-0.00016205
31.2500	-0.00016217
31.5000	-0.00016211
31.7500	-0.00016212
32.0000	-0.00016209
32.2500	-0.00016204
32.5000	-0.00016212
32.7500	-0.00016212
33.0000	-0.00016213
33.2500	-0.00016211
33.5000	-0.00016213
33.7500	-0.00016214
34.0000	-0.00016195
34.2500	-0.00016214
34.5000	-0.00016204
34.7500	-0.00016220
35.0000	-0.00016211
35.2500	-0.00016215
35.5000	-0.00016224
35.7500	-0.00016212
36.0000	-0.00016206
36.2500	-0.00016204
36.5000	-0.00016227
36.7500	-0.00016202
37.0000	-0.00016204
37.2500	-0.00016212
37.5000	-0.00016218
37.7500	-0.00016209
38.0000	-0.00016211
38.2500	-0.00016217
38.5000	-0.00016212
38.7500	-0.00016217
39.0000	-0.00016202
39.2500	-0.00016210
39.5000	-0.00016216
39.7500	-0.00016216
40.0000	-0.00016208
40.2500	-0.00016204
40.5000	-0.00016213
40.7500	-0.00016211
41.0000	-0.00016210
41.2500	-0.00016214
41.5000	-0.00016210
41.7500	-0.00016212
42.0000	-0.00016204
42.2500	-0.00016205
42.5000	-0.00016207
42.7500	-0.00016203
43.0000	-0.00016212
43.2500	-0.00016207
43.5000	-0.00016212
43.7500	-0.00016214
44.0000	-0.00016220
44.2500	-0.00016211
44.5000	-0.00016215
44.7500	-0.00016212
45.0000	-0.00016217
45.2500	-0.00016216
45.5000	-0.00016211
45.7500	-0.00016208
46.0000	-0.00016211
46.2500	-0.00016209
46.5000	-0.00016211
46.7500	-0.00016212
47.0000	-0.00016211
47.2500	-0.00016215
47.5000	-0.00016210
47.7500	-0.00016212
48.0000	-0.00016215
48.2500	-0.00016564
48.5000	-0.00017321
48.7500	-0.00017896
49.0000	-0.00018202
49.2500	-0.00018204
49.5000	-0.00018211
49.7500	-0.00018208
50.0000	-0.00018202
50.2500	-0.00018213
50.5000	-0.00018206
50.7500	-0.00018207
51.0000	-0.00018207
51.2500	-0.00018207
51.5000	-0.00018208
51.7500	-0.00018200
52.0000	-0.00018203
52.2500	-0.00018203
52.5000	-0.00018210
52.7500	-0.00018208
53.0000	-0.00018209
53.2500	-0.00018216
53.5000	-0.00018229
53.7500	-0.00018210
54.0000	-0.00018207
54.2500	-0.00018200
54.5000	-0.00018200
54.7500	-0.00018214
55.0000	-0.00018200
55.2500	-0.00018204
55.5000	-0.00018199
55.7500	-0.00018192
56.0000	-0.00018216
56.2500	-0.00018194
56.5000	-0.00018202
56.7500	-0.00018211
57.0000	-0.00018206
57.2500	-0.00018204
57.5000	-0.00018207
57.7500	-0.00018200
58.0000	-0.00018216
58.2500	-0.00018204
58.5000	-0.00018213
58.7500	-0.00018203
59.0000	-0.00018217
59.2500	-0.00018203
59.5000	-0.00018208
59.7500	-0.00018205
60.0000	-0.00018191
60.2500	-0.00018205
60.5000	-0.00018205
60.7500	-0.00018203
61.0000	-0.00018203
61.2500	-0.00018211
61.5000	-0.00018201
61.7500	-0.00018200
62.0000	-0.00018201
62.2500	-0.00018207
62.5000	-0.00018208
62.7500	-0.00018195
63.0000	-0.00018214
63.2500	-0.00018204
63.5000	-0.00018209
63.7500	-0.00018205
64.0000	-0.00018208
64.2500	-0.00018205
64.5000	-0.00018213
64.7500	-0.00018209
65.0000	-0.00018214
65.2500	-0.00018210
65.5000	-0.00018204
65.7500	-0.00018205
66.0000	-0.00018208
66.2500	-0.00018206
66.5000	-0.00018212
66.7500	-0.00018203
67.0000	-0.00018207
67.2500	-0.00018212
67.5000	-0.00018208
67.7500	-0.00018207
68.0000	-0.00018195
68.2500	-0.00018212
68.5000	-0.00018200
68.7500	-0.00018201
69.0000	-0.00018205
69.2500	-0.00018203
69.5000	-0.00018208
69.7500	-0.00018205
70.0000	-0.00018205
70.2500	-0.00018211
70.5000	-0.00018199
70.7500	-0.00018200
71.0000	-0.00018209
71.2500	-0.00019332
71.5000	-0.00019189
71.7500	-0.00019214
72.0000	-0.00019211
72.2500	-0.00019199
72.5000	-0.00019191
72.7500	-0.00019212
73.0000	-0.00019201
73.2500	-0.00019203
73.5000	-0.00019198
73.7500	-0.00019205
74.0000	-0.00019212
74.2500	-0.00019207
74.5000	-0.00019202
74.7500	-0.00019207
75.0000	-0.00019204
75.2500	-0.00019202
75.5000	-0.00019233
75.7500	-0.00019208
76.0000	-0.00019208
76.2500	-0.00019201
76.5000	-0.00019210
76.7500	-0.00019195
77.0000	-0.00019197
77.2500	-0.00019196
77.5000	-0.00019205
77.7500	-0.00019206
78.0000	-0.00019205
78.2500	-0.00019203
78.5000	-0.00019203
78.7500	-0.00019207
79.0000	-0.00019205
79.2500	-0.00019207
79.5000	-0.00019205
79.7500	-0.00019209
80.0000	-0.00019195
80.2500	-0.00019211
80.5000	-0.00019204
80.7500	-0.00019200
81.0000	-0.00019196
81.2500	-0.00019209
81.5000	-0.00019206
81.7500	-0.00019193
82.0000	-0.00019211
82.2500	-0.00019205
82.5000	-0.00019205
82.7500	-0.00019200
83.0000	-0.00019202
83.2500	-0.00019196
83.5000	-0.00019198
83.7500	-0.00019197
84.0000	-0.00019210
84.2500	-0.00019208
84.5000	-0.00019201
84.7500	-0.00019198
85.0000	-0.00019208
85.2500	-0.00019199
85.5000	-0.00019199
85.7500	-0.00019196
86.0000	-0.00019202
86.2500	-0.00019201
86.5000	-0.00019199
86.7500	-0.00019205
87.0000	-0.00019208
87.2500	-0.00019203
87.5000	-0.00019199
87.7500	-0.00019206
88.0000	-0.00019200
88.2500	-0.00019203
88.5000	-0.00019206
88.7500	-0.00019199
89.0000	-0.00019199
89.2500	-0.00019192
89.5000	-0.00019199
89.7500	-0.00019208
90.0000	-0.00019189
90.2500	-0.00019199
90.5000	-0.00019195
90.7500	-0.00019204
91.0000	-0.00019199
91.2500	-0.00019199
91.5000	-0.00019205
91.7500	-0.00019202
92.0000	-0.00019198
92.2500	-0.00019198
92.5000	-0.00019195
92.7500	-0.00019202
93.0000	-0.00019205
93.2500	-0.00019211
93.5000	-0.00019202
93.7500	-0.00019199
94.0000	-0.00019202
94.2500	-0.00019195
94.5000	-0.00019203
94.7500	-0.00019199
95.0000	-0.00019201
95.2500	-0.00019208
95.5000	-0.00019211
95.7500	-0.00019203
96.0000	-0.00019206
96.2500	-0.00019209
96.5000	-0.00019208
96.7500	-0.00019208
97.0000	-0.00019205
97.2500	-0.00019208
97.5000	-0.00019203
97.7500	-0.00019202
