时间t	称重电压
0.0000	0.00014222
0.2500	0.00014222
0.5000	0.00014224
0.7500	0.00014233
1.0000	0.00014233
1.2500	0.00014230
1.5000	0.00014233
1.7500	0.00014229
2.0000	0.00014226
2.2500	0.00014236
2.5000	0.00014235
2.7500	0.00014224
3.0000	0.00014232
3.2500	0.00014229
3.5000	0.00014226
3.7500	0.00014225
4.0000	0.00014231
4.2500	0.00014227
4.5000	0.00014221
4.7500	0.00014225
5.0000	0.00014221
5.2500	0.00014228
5.5000	0.00014230
5.7500	0.00014227
6.0000	0.00014235
6.2500	0.00014232
6.5000	0.00015180
6.7500	0.00015264
7.0000	0.00014765
7.2500	0.00015328
7.5000	0.00015400
7.7500	0.00016027
8.0000	0.00016041
8.2500	0.00016033
8.5000	0.00016033
8.7500	0.00016044
9.0000	0.00016043
9.2500	0.00016039
9.5000	0.00016048
9.7500	0.00016044
10.0000	0.00016039
10.2500	0.00016056
10.5000	0.00016048
10.7500	0.00016045
11.0000	0.00016037
11.2500	0.00016036
11.5000	0.00016050
11.7500	0.00016050
12.0000	0.00016045
12.2500	0.00016047
12.5000	0.00016036
12.7500	0.00016055
13.0000	0.00016045
13.2500	0.00016048
13.5000	0.00016050
13.7500	0.00016044
14.0000	0.00016041
14.2500	0.00016039
14.5000	0.00016040
14.7500	0.00016046
15.0000	0.00016047
15.2500	0.00016045
15.5000	0.00016049
15.7500	0.00016039
16.0000	0.00016051
16.2500	0.00016052
16.5000	0.00016043
16.7500	0.00016050
17.0000	0.00016046
17.2500	0.00016048
17.5000	0.00016055
17.7500	0.00016053
18.0000	0.00016046
18.2500	0.00016048
18.5000	0.00016043
18.7500	0.00016049
19.0000	0.00016036
19.2500	0.00016042
19.5000	0.00016045
19.7500	0.00016049
20.0000	0.00016044
20.2500	0.00016046
20.5000	0.00016048
20.7500	0.00016038
21.0000	0.00016042
21.2500	0.00016044
21.5000	0.00016041
21.7500	0.00016049
22.0000	0.00016044
22.2500	0.00016038
22.5000	0.00016040
22.7500	0.00016048
23.0000	0.00016047
23.2500	0.00016034
23.5000	0.00016038
23.7500	0.00016042
24.0000	0.00016043
24.2500	0.00016048
24.5000	0.00016052
24.7500	0.00016039
25.0000	0.00016036
25.2500	0.00016045
25.5000	0.00016043
25.7500	0.00016053
26.0000	0.00016048
26.2500	0.00016042
26.5000	0.00016038
26.7500	0.00016047
27.0000	0.00016040
27.2500	0.00016047
27.5000	0.00016037
27.7500	0.00016043
28.0000	0.00016046
28.2500	0.00016050
28.5000	0.00016043
28.7500	0.00016039
29.0000	0.00016041
29.2500	0.00016002
29.5000	0.00014223
29.7500	0.00014229
30.0000	0.00014220
30.2500	0.00014231
30.5000	0.00014225
30.7500	0.00014225
31.0000	0.00014220
31.2500	0.00014228
31.5000	0.00014226
31.7500	0.00014219
32.0000	0.00014226
32.2500	0.00014225
32.5000	0.00014222
32.7500	0.00014224
33.0000	0.00014225
33.2500	0.00014231
33.5000	0.00014220
33.7500	0.00014229
34.0000	0.00014218
34.2500	0.00014224
34.5000	0.00014214
34.7500	0.00014238
35.0000	0.00014227
35.2500	0.00014219
35.5000	0.00014441
35.7500	0.00015744
36.0000	0.00017346
36.2500	0.00017454
36.5000	0.00018096
36.7500	0.00018257
37.0000	0.00018864
37.2500	0.00020075
37.5000	0.00020080
37.7500	0.00019648
38.0000	0.00020055
38.2500	0.00020082
38.5000	0.00020074
38.7500	0.00020088
39.0000	0.00020075
39.2500	0.00020080
39.5000	0.00020071
39.7500	0.00020080
40.0000	0.00020085
40.2500	0.00020076
40.5000	0.00020082
40.7500	0.00020074
41.0000	0.00020076
41.2500	0.00020080
41.5000	0.00020079
41.7500	0.00020085
42.0000	0.00020083
42.2500	0.00020082
42.5000	0.00020079
42.7500	0.00020084
43.0000	0.00020079
43.2500	0.00020083
43.5000	0.00020077
43.7500	0.00020077
44.0000	0.00020085
44.2500	0.00020069
44.5000	0.00020073
44.7500	0.00020071
45.0000	0.00020076
45.2500	0.00020085
45.5000	0.00020078
45.7500	0.00020074
46.0000	0.00020088
