时间t	加热电压	取样电压	称重电压
0.0000	-0.00004292	-0.00006258	0.00038091
0.2500	-0.00025034	0.00001788	0.00038084
0.5000	0.00011444	-0.00005186	0.00038099
0.7500	-0.00001431	0.00001431	0.00038089
1.0000	0.00002146	-0.00006080	0.00038096
1.2500	0.00010729	0.00001073	0.00038083
1.5000	0.00012875	0.00006258	0.00038107
1.7500	-0.00015020	-0.00000715	0.00038094
2.0000	0.00001431	0.00008583	0.00038102
2.2500	-0.00014305	-0.00000179	0.00038099
2.5000	-0.00022173	-0.00011444	0.00038094
2.7500	-0.00016451	0.00000179	0.00038096
3.0000	-0.00002146	0.00004113	0.00038087
3.2500	-0.00001431	-0.00003934	0.00038093
3.5000	0.00010729	-0.00002861	0.00038098
3.7500	0.00007868	-0.00000715	0.00038094
4.0000	-0.00017166	-0.00001609	0.00038090
4.2500	-0.00007153	-0.00003219	0.00038083
4.5000	0.00007153	0.00000000	0.00038088
4.7500	-0.00002861	0.00002146	0.00038089
5.0000	0.00022173	0.00001073	0.00038100
5.2500	-0.00007868	0.00001073	0.00038089
5.5000	-0.00019312	0.00001967	0.00038096
5.7500	-0.00011444	-0.00005007	0.00038081
6.0000	0.00012159	0.00005543	0.00038086
6.2500	-0.00014305	0.00002682	0.00038099
6.5000	-0.00033617	-0.00000536	0.00038093
6.7500	0.00003576	0.00000179	0.00038085
7.0000	0.00007868	0.00001073	0.00038087
7.2500	0.00025034	0.00001252	0.00038082
7.5000	-0.00013590	-0.00000715	0.00038080
7.7500	-0.00020027	0.00008583	0.00038074
8.0000	0.00020742	0.00002146	0.00038091
8.2500	-0.00001431	0.00002861	0.00038079
8.5000	0.00022173	-0.00002325	0.00038073
8.7500	-0.00012159	0.00002861	0.00038083
9.0000	-0.00010729	-0.00000715	0.00038075
9.2500	-0.00010014	0.00001431	0.00038084
9.5000	-0.00002146	0.00001967	0.00038082
9.7500	0.00002146	0.00002861	0.00038074
10.0000	-0.00031471	0.00000000	0.00038084
10.2500	0.00007868	-0.00004113	0.00038084
10.5000	-0.00017881	0.00001967	0.00038088
10.7500	-0.00020742	-0.00000179	0.00038062
11.0000	-0.00006437	0.00001788	0.00038008
11.2500	-0.00000715	0.00003219	0.00037995
11.5000	0.00001431	-0.00001073	0.00038041
11.7500	0.00015020	0.00001252	0.00038047
12.0000	0.00006437	0.00008404	0.00038053
12.2500	0.00007868	0.00002682	0.00038069
12.5000	0.00014305	0.00000358	0.00038061
12.7500	0.00002861	-0.00002146	0.00038065
13.0000	0.00008583	0.00001788	0.00038060
13.2500	-0.00024319	0.00004649	0.00038079
13.5000	0.00004292	-0.00001073	0.00038066
13.7500	0.00003576	0.00003576	0.00038070
14.0000	0.00032187	0.00000358	0.00038061
14.2500	0.00013590	0.00000536	0.00038057
14.5000	-0.00007153	0.00003755	0.00038068
14.7500	0.00002861	-0.00001788	0.00038022
15.0000	-0.00002861	0.00004649	0.00038025
15.2500	-0.00031471	-0.00000358	0.00037994
15.5000	-0.00025034	-0.00003934	0.00038006
15.7500	0.00012875	0.00000715	0.00038003
16.0000	-0.00005007	-0.00003397	0.00038043
